giorno,fascia_eta,regione,predizione_vaccini
1 MAY,50-59,Sicilia,1695
1 MAY,50-59,Piemonte,1544
1 MAY,50-59,Emilia-Romagna,1451
1 MAY,60-69,Lombardia,12916
1 MAY,60-69,Campania,7137
1 MAY,60-69,Lazio,5437
1 MAY,60-69,Sicilia,4822
1 MAY,60-69,Veneto,4552
1 MAY,70-79,Lombardia,22569
1 MAY,70-79,Puglia,8321
1 MAY,70-79,Emilia-Romagna,7076
1 MAY,70-79,Lazio,6958
1 MAY,70-79,Veneto,6509
1 MAY,80-89,Lombardia,7198
1 MAY,80-89,Toscana,5474
1 MAY,80-89,Veneto,3368
1 MAY,80-89,Lazio,3319
1 MAY,80-89,Emilia-Romagna,3209
1 MAY,90+,Veneto,1422
1 MAY,90+,Lombardia,1275
1 MAY,90+,Lazio,965
1 MAY,90+,Sicilia,680
1 MAY,90+,Puglia,659
1 JUNE,12-19,Sicilia,685
1 JUNE,12-19,Lombardia,553
1 JUNE,12-19,Puglia,350
1 JUNE,12-19,Campania,301
1 JUNE,12-19,Emilia-Romagna,128
1 JUNE,20-29,Lombardia,2892
1 JUNE,20-29,Campania,2213
1 JUNE,20-29,Sicilia,1351
1 JUNE,20-29,Emilia-Romagna,1064
1 JUNE,20-29,Lazio,770
1 JUNE,30-39,Lombardia,3579
1 JUNE,30-39,Campania,2472
1 JUNE,30-39,Lazio,1805
1 JUNE,30-39,Sicilia,1621
1 JUNE,30-39,Emilia-Romagna,1560
1 JUNE,40-49,Campania,8437
1 JUNE,40-49,Lombardia,6529
1 JUNE,40-49,Sicilia,5875
1 JUNE,40-49,Lazio,5850
1 JUNE,40-49,Puglia,2742
1 JUNE,50-59,Lombardia,18535
1 JUNE,50-59,Campania,10855
1 JUNE,50-59,Lazio,10356
1 JUNE,50-59,Veneto,7854
1 JUNE,50-59,Puglia,6939
1 JUNE,60-69,Lombardia,8182
1 JUNE,60-69,Toscana,7200
1 JUNE,60-69,Lazio,6903
1 JUNE,60-69,Emilia-Romagna,6433
1 JUNE,60-69,Piemonte,5635
1 JUNE,70-79,Lombardia,4209
1 JUNE,70-79,Sicilia,3017
1 JUNE,70-79,Toscana,2468
1 JUNE,70-79,Lazio,2364
1 JUNE,70-79,Piemonte,2173
1 JUNE,80-89,Sicilia,953
1 JUNE,80-89,Campania,615
1 JUNE,80-89,Liguria,183
1 JUNE,80-89,Provincia Autonoma Trento,180
1 JUNE,80-89,Marche,173
1 JUNE,90+,Sicilia,375
1 JUNE,90+,Lombardia,325
1 JUNE,90+,Campania,241
1 JUNE,90+,Veneto,175
1 JUNE,90+,Emilia-Romagna,123
